"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2021","457.20","465.00","471.00","453.65","19.06M","-1.61%"
"10/05/2021","464.70","462.00","469.00","458.70","16.49M","0.33%"
"10/04/2021","463.15","453.80","464.40","451.60","16.25M","2.55%"
"10/01/2021","451.65","448.50","455.55","443.80","14.78M","-0.30%"
"09/30/2021","453.00","459.95","464.90","451.40","26.53M","-1.52%"
"09/29/2021","460.00","441.85","462.30","439.10","38.64M","3.39%"
"09/28/2021","444.90","449.20","455.80","439.60","19.24M","-0.38%"
"09/27/2021","446.60","444.90","450.55","442.25","11.75M","1.33%"
"09/24/2021","440.75","451.10","451.90","440.00","10.73M","-2.01%"
"09/23/2021","449.80","442.40","451.15","442.05","20.52M","2.50%"
"09/22/2021","438.85","438.90","442.80","436.10","14.32M","0.01%"
"09/21/2021","438.80","440.15","441.35","432.65","17.28M","0.31%"
"09/20/2021","437.45","449.40","453.50","435.65","18.38M","-3.67%"
"09/17/2021","454.10","468.00","471.90","450.35","41.53M","-2.07%"
"09/16/2021","463.70","444.85","466.10","442.75","42.64M","4.47%"
"09/15/2021","443.85","433.00","445.00","431.45","22.18M","2.51%"
"09/14/2021","433.00","435.00","436.75","432.25","9.98M","0.03%"
"09/13/2021","432.85","430.10","433.80","428.80","9.57M","0.13%"
"09/09/2021","432.30","430.25","433.80","430.00","9.66M","0.22%"
"09/08/2021","431.35","429.00","435.40","427.35","22.82M","0.52%"
"09/07/2021","429.10","431.05","431.70","425.10","14.93M","-0.45%"
"09/06/2021","431.05","432.00","433.85","430.05","10.69M","-0.08%"
"09/03/2021","431.40","431.25","434.30","428.20","14.23M","0.38%"
"09/02/2021","429.75","431.40","433.50","427.75","14.37M","-0.03%"
"09/01/2021","429.90","427.50","432.55","425.15","18.78M","0.90%"
"08/31/2021","426.05","423.85","427.00","418.70","26.26M","0.79%"
"08/30/2021","422.70","414.40","423.30","413.50","20.31M","2.49%"
"08/27/2021","412.45","410.35","414.35","407.50","15.09M","0.41%"
"08/26/2021","410.75","414.50","415.80","410.00","15.90M","-1.32%"
"08/25/2021","416.25","419.00","421.30","414.30","16.41M","-0.32%"
"08/24/2021","417.60","409.50","418.75","408.20","19.01M","1.98%"
"08/23/2021","409.50","411.10","413.00","401.25","26.56M","0.69%"
"08/20/2021","406.70","415.00","417.35","405.15","25.54M","-3.10%"
"08/18/2021","419.70","422.15","424.35","418.00","17.67M","-0.43%"
"08/17/2021","421.50","424.85","425.85","415.25","22.96M","-0.79%"
"08/16/2021","424.85","430.00","434.00","424.00","17.61M","-1.47%"
"08/13/2021","431.20","427.60","432.25","425.00","20.91M","0.95%"
"08/12/2021","427.15","430.00","430.45","425.00","16.85M","-0.21%"
"08/11/2021","428.05","429.80","432.90","423.15","23.83M","0.38%"
"08/10/2021","426.45","434.40","436.40","421.70","27.79M","-1.60%"
"08/09/2021","433.40","437.90","441.80","431.00","22.20M","-0.52%"
